City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Tuktoyaktuk,69.45,-133.04,59.0,62,20,9.17,CA
Baza,37.49,-2.77,72.0,42,0,4.74,ES
Bathsheba,13.22,-59.52,82.4,78,20,14.99,BB
Beloha,-25.17,45.05,62.56,94,17,4.74,MG
Hilo,19.73,-155.09,84.2,58,75,12.75,US
Sur,22.57,59.53,84.47,72,59,9.53,OM
Idah,7.11,6.73,72.84,94,99,3.2,NG
Verkhnevilyuysk,63.45,120.32,81.64,37,0,4.29,RU
Mānvi,15.98,77.05,78.67,79,100,10.63,IN
Gouré,13.98,10.27,82.0,59,99,5.01,NE
Luba,3.46,8.55,75.2,100,40,5.82,GQ
Cape Town,-33.93,18.42,55.0,100,0,1.12,ZA
Brae,60.4,-1.35,55.4,87,100,13.87,GB
Pangnirtung,66.15,-65.71,48.45,60,97,2.98,CA
Hay River,60.82,-115.8,66.2,52,40,13.87,CA
Severo-Kuril'sk,50.68,156.12,50.52,87,100,10.54,RU
Saint George,37.1,-113.58,82.99,9,1,11.41,US
Ribeira Grande,38.52,-28.7,67.5,95,25,6.55,PT
Deniliquin,-35.53,144.97,51.01,74,0,11.3,AU
Chui,-33.7,-53.46,54.28,89,100,9.04,UY
Guerrero Negro,27.98,-114.06,69.69,66,0,16.26,MX
São Filipe,14.9,-24.5,76.26,69,0,13.15,CV
Castro,-24.79,-50.01,53.04,96,14,7.78,BR
Balabac,7.99,117.06,83.07,80,96,9.75,PH
Bartica,6.4,-58.62,75.2,100,75,2.24,GY
Bom Jesus,-9.07,-44.36,69.44,52,0,3.06,BR
Kapaa,22.08,-159.32,84.2,70,75,11.41,US
Altay,47.87,88.12,52.54,83,100,4.14,CN
Osoyoos,49.03,-119.45,82.4,34,75,5.82,CA
Mujiayingzi,42.12,118.78,72.23,58,100,9.15,CN
Songkhla,6.83,100.67,73.4,100,40,1.83,TH
Okhotsk,59.38,143.3,55.78,78,92,3.74,RU
Abu Kamal,34.45,40.92,79.52,38,0,15.12,SY
Atar,20.52,-13.05,95.14,11,0,11.45,MR
La Palma,33.85,-118.05,75.0,53,40,8.05,US
Hermanus,-34.42,19.23,51.01,94,0,1.99,ZA
Kaitangata,-46.28,169.85,48.0,75,100,11.01,NZ
Haradok,55.46,29.98,61.16,93,54,10.07,BY
Lira,2.23,32.91,64.02,92,100,3.85,UG
Damaturu,11.75,11.96,78.82,68,100,8.66,NG
Acapulco de Juárez,16.86,-99.89,87.8,70,75,5.82,MX
Puerto Baquerizo Moreno,-0.9,-89.6,71.6,88,75,12.75,EC
Muros,42.78,-9.06,63.0,78,9,7.49,ES
Boddam,57.47,-1.78,54.0,93,75,11.41,GB
Saint Paul Harbor,57.79,-152.41,64.4,55,1,10.29,US
Kamen'-na-Obi,53.79,81.34,61.23,69,0,4.97,RU
Kwang Binh,17.48,106.6,87.17,61,14,11.77,VN
Waipawa,-41.41,175.52,48.2,81,94,27.51,NZ
Barrow,71.29,-156.79,42.8,75,1,16.11,US
Broome,42.25,-75.83,75.0,56,1,9.17,US
Marsá Maţrūḩ,31.35,27.25,69.8,83,0,6.93,EG
Mayo,38.89,-76.51,84.99,69,1,3.36,US
Thompson,55.74,-97.86,53.6,93,90,6.93,CA
George Town,5.41,100.34,80.6,88,20,3.36,MY
Beringovskiy,63.05,179.32,43.23,92,100,5.01,RU
North Bend,43.41,-124.22,69.01,68,1,13.87,US
Cabo San Lucas,22.89,-109.91,82.0,69,90,8.05,MX
Lavrentiya,65.58,-171.0,45.54,64,24,10.85,RU
Dunedin,-45.87,170.5,46.99,80,100,1.99,NZ
Phalaborwa,-23.94,31.14,59.0,72,0,3.36,ZA
Moba,33.23,105.02,70.61,61,2,4.27,CN
Kumla,59.13,15.14,59.0,77,1,5.82,SE
Niquero,20.04,-77.58,81.39,81,24,8.46,CU
Chernyshevskiy,63.01,112.47,79.14,43,41,1.72,RU
Fairbanks,64.84,-147.72,59.0,72,90,5.82,US
Bengkulu,-3.8,102.27,77.67,84,0,4.07,ID
Krasnosel'kup,65.7,82.47,60.39,69,98,20.0,RU
Newark,40.74,-74.17,80.6,57,40,9.17,US
George Town,5.41,100.34,80.6,88,20,3.36,MY
Kavaratti,10.57,72.64,83.08,80,100,16.26,IN
Khatanga,71.97,102.5,80.35,45,100,2.59,RU
Aklavik,68.22,-135.01,73.4,35,20,5.82,CA
Pevek,69.7,170.31,33.04,95,85,10.38,RU
Madang,-5.22,145.8,83.71,74,52,4.0,PG
Alofi,-19.06,-169.92,80.6,83,75,8.05,NU
Qinhuangdao,39.93,119.59,80.6,45,100,0.81,CN
Ponorogo,-7.87,111.46,78.87,73,2,4.0,ID
Marzuq,14.4,46.47,82.15,39,100,3.87,YE
Mossamedes,-15.2,12.15,68.54,60,0,3.53,AO
Camabatela,-8.19,15.38,57.25,94,6,1.81,AO
Egvekinot,66.32,-179.17,40.41,68,79,5.68,RU
Bredasdorp,-34.53,20.04,46.4,93,2,3.36,ZA
Bambous Virieux,-20.34,57.76,68.0,94,40,2.24,MU
Labuhan,-6.88,112.21,79.27,79,2,5.61,ID
Russell,32.35,-85.2,91.4,88,20,3.71,US
Babstovo,48.12,132.48,73.31,70,11,1.54,RU
Puerto del Rosario,28.5,-13.86,73.4,73,90,17.22,ES
Tromsø,69.65,18.96,44.6,87,75,14.99,NO
Bud,39.45,-86.18,82.4,74,1,4.32,US
Berëzovka,53.72,25.5,65.1,96,100,8.61,BY
Vadsø,70.07,29.75,41.0,86,100,18.34,NO
Fortuna Foothills,32.66,-114.41,95.0,16,1,4.7,US
Lakes Entrance,-37.88,147.98,46.0,98,100,8.08,AU
Sennar,13.57,33.57,87.71,40,36,14.05,SD
Iquitos,-3.75,-73.25,77.0,88,75,1.12,PE
Zhuhai,22.28,113.57,88.0,79,20,9.17,CN
Iracoubo,5.48,-53.2,78.64,87,100,8.99,GF
Sakakah,29.97,40.21,80.6,26,0,8.05,SA
Zambezi,-13.54,23.1,52.79,45,0,5.53,ZM
Manaus,-3.1,-60.02,78.8,88,75,4.7,BR
Moose Factory,51.26,-80.61,77.0,65,1,6.93,CA
Robertson,36.52,-86.87,77.0,100,1,3.24,US
Zhezkazgan,47.8,67.71,57.2,67,14,6.71,KZ
Hobbs,32.7,-103.14,96.01,12,1,16.11,US
Auki,-8.77,160.7,84.99,66,84,3.31,SB
Camacha,33.08,-16.33,69.8,83,75,12.75,PT
Nikolskoye,59.7,30.79,62.01,67,100,6.71,RU
Port Moresby,-9.44,147.18,78.8,88,75,19.46,PG
Chegdomyn,51.12,133.02,76.71,43,55,3.89,RU
Domodedovo,55.44,37.76,52.0,81,0,6.71,RU
Lata,40.16,-8.33,63.0,86,0,0.65,PT
San Jerónimo,-11.95,-75.28,48.92,68,5,3.67,PE
Wajir,1.75,40.06,75.34,74,0,15.79,KE
Haines Junction,60.75,-137.51,67.17,33,88,3.27,CA
Jamestown,42.1,-79.24,75.2,60,1,5.82,US
Truro,50.27,-5.05,59.0,93,68,6.93,GB
Port-Gentil,-0.72,8.78,73.4,88,40,8.05,GA
Chicama,-7.84,-79.15,64.0,81,40,7.36,PE
‘Āhuimanu,21.44,-157.84,86.0,58,20,10.29,US
Esperance,-33.87,121.9,50.0,87,0,17.22,AU
Palmer,42.16,-72.33,68.0,94,75,5.82,US
Orapa,-21.28,25.37,47.62,70,0,6.46,BW
Virginia Beach,36.85,-75.98,84.0,51,20,3.36,US
East London,-33.02,27.91,61.72,71,18,18.3,ZA
Longyan,25.11,117.02,85.19,63,98,4.94,CN
Araouane,18.9,-3.53,95.52,19,0,8.12,ML
Hambantota,6.12,81.12,81.75,80,7,15.88,LK
Myanaung,18.28,95.32,81.93,78,50,3.87,MM
Cidreira,-30.18,-50.21,60.6,92,100,16.84,BR
Nagapattinam,10.77,79.83,82.17,72,100,8.55,IN
Melfi,41.0,15.65,75.2,53,5,2.24,IT
Guia Lopes da Laguna,-21.46,-56.11,68.2,85,0,4.34,BR
Bethel,41.37,-73.41,70.0,73,40,3.36,US
Mazatlán,23.22,-106.42,86.0,74,75,13.87,MX
Wahiawā,21.5,-158.02,86.0,61,90,3.36,US
Zyryanka,65.75,150.85,62.78,48,38,13.09,RU
Touho,-20.78,165.23,71.73,50,0,6.71,NC
Torbay,47.67,-52.73,61.0,87,90,6.93,CA
Härnösand,62.63,17.94,63.0,100,42,3.36,SE
Sarankhola,22.31,89.79,83.3,82,27,4.16,BD
Chachapoyas,-6.23,-77.87,53.37,90,36,2.53,PE
Mapiripán,2.89,-72.13,74.8,88,100,2.57,CO
Dzaoudzi,-12.79,45.27,77.0,83,75,9.17,YT
Ola,59.58,151.28,52.61,92,100,7.36,RU
Alice Springs,-23.7,133.88,59.0,33,0,1.88,AU
Tabas,33.6,56.92,86.0,13,0,6.93,IR
Pirovskoye,57.63,92.27,57.78,89,84,5.17,RU
Korla,41.76,86.15,67.39,26,0,6.31,CN
Roudnice,50.18,15.65,57.2,87,0,3.87,CZ
Veselynove,47.36,31.23,68.77,77,0,2.01,UA
Palembang,-2.92,104.75,78.49,85,0,5.14,ID
Kingsville,27.52,-97.86,89.6,74,75,21.92,US
Carnarvon,-24.87,113.63,57.2,100,6,5.82,AU
Pennsville,39.65,-75.52,82.99,51,1,6.93,US
Portree,57.41,-6.19,52.0,94,82,2.8,GB
Townsville,-19.25,146.8,72.0,60,0,3.36,AU
Solnechnyy,50.72,136.63,72.55,42,0,3.49,RU
Thohoyandou,-22.95,30.48,51.62,86,0,2.51,ZA
Châtellerault,46.8,0.53,57.0,93,45,5.82,FR
Hamilton,39.18,-84.53,84.99,78,20,4.7,US
Villazón,-22.09,-65.59,43.77,41,16,17.76,BO
Awjilah,29.11,21.29,76.26,38,0,8.34,LY
Auburn,47.31,-122.23,73.0,56,75,14.99,US
Palatka,29.65,-81.64,88.0,58,1,6.93,US
Lincoln,40.8,-96.67,87.8,62,20,13.87,US
Aden,12.78,45.04,86.94,75,99,12.82,YE
Callaway,30.15,-85.57,86.0,74,20,10.29,US
Senador José Porfírio,-2.59,-51.95,75.15,94,26,3.58,BR
Codrington,-38.27,141.97,50.65,67,100,19.33,AU
Sørland,67.67,12.69,46.9,84,3,37.96,NO
Nisí,40.64,22.39,75.99,93,0,1.52,GR
Kununurra,-15.77,128.73,73.4,19,21,9.17,AU
Riyadh,24.69,46.72,86.0,22,0,3.36,SA
San Quintín,30.48,-115.95,66.34,73,47,11.63,MX
Tilichiki,60.47,166.1,50.25,94,100,1.41,RU
Lebu,-37.62,-73.65,50.29,91,6,5.21,CL
Alekseyevsk,57.84,108.35,77.76,47,0,3.47,RU
El Bagre,7.59,-74.81,76.24,94,100,2.46,CO
Esil,51.96,66.4,53.76,84,100,17.09,KZ
Takaka,-40.85,172.8,53.01,73,0,4.0,NZ
Simbahan,6.3,120.58,82.09,74,92,6.64,PH
Asău,46.43,26.4,66.0,84,0,6.06,RO
Pisco,-13.7,-76.22,62.6,82,2,17.22,PE
Challapata,-18.9,-66.77,37.29,61,0,4.83,BO
Mocuba,-16.84,36.99,65.77,98,59,2.93,MZ
Ancud,-41.87,-73.82,48.0,87,90,4.7,CL
Buala,-8.14,159.59,85.19,64,100,0.94,SB
Gornopravdinsk,60.05,69.9,48.06,95,100,6.67,RU
Shimoda,34.67,138.95,78.8,83,75,8.05,JP
Aswān,24.09,32.91,82.99,20,0,8.59,EG
Coquimbo,-29.95,-71.34,53.6,87,90,10.29,CL
Preobrazheniye,42.9,133.91,58.77,84,100,8.63,RU
Itō,34.97,139.08,78.8,83,75,8.05,JP
General Roca,-39.03,-67.58,41.0,93,75,8.48,AR
Jennings,38.72,-90.26,86.0,48,75,12.75,US
Galesong,-5.32,119.37,77.0,100,20,2.24,ID
Tezu,27.92,96.17,77.04,83,99,0.6,IN
Būgai,55.42,22.62,56.53,96,100,17.18,LT
Constitución,-35.33,-72.42,51.46,88,17,3.56,CL
São João da Barra,-21.64,-41.05,68.81,76,100,9.91,BR
Inírida,3.87,-67.92,74.14,94,9,1.21,CO
Imbituba,-28.24,-48.67,60.8,93,75,3.36,BR
Dukhovshchina,55.19,32.41,53.76,87,39,6.8,RU
Lüderitz,-26.65,15.16,51.8,76,0,4.7,NA
Oudtshoorn,-33.59,22.2,50.0,93,43,4.7,ZA
Kempten (Allgäu),47.73,10.31,60.01,81,14,3.44,DE
Port Lincoln,-34.73,135.87,60.12,67,0,16.13,AU
Namatanai,-3.67,152.43,85.46,65,34,4.59,PG
Cockburn Town,21.46,-71.14,82.4,74,40,11.41,TC
Necochea,-38.55,-58.74,48.0,85,100,4.0,AR
Coyhaique,-45.58,-72.07,35.6,94,90,3.36,CL
Maun,-19.98,23.42,55.4,58,0,8.05,BW
Shaowu,27.34,117.48,84.63,77,57,2.17,CN
Kanigoro,-8.13,112.22,78.26,73,1,6.02,ID
Yulin,22.63,110.15,82.63,82,96,6.62,CN
Paamiut,61.99,-49.67,39.22,91,7,12.28,GL
Verkhnyaya Inta,65.98,60.31,39.27,93,100,13.42,RU
Laguna,38.42,-121.42,90.0,11,1,11.41,US
Klaksvík,62.23,-6.59,51.8,87,100,8.05,FO
Lompoc,34.64,-120.46,69.01,60,0,13.87,US
Arlit,18.74,7.39,88.86,18,0,7.27,NE
Matara,5.95,80.54,79.79,88,93,9.75,LK
Ahipara,-35.17,173.17,56.14,82,54,15.75,NZ
Antalaha,-14.9,50.28,67.46,85,30,6.71,MG
Sibu,2.3,111.82,77.0,94,40,3.36,MY
Sulangan,11.14,123.72,79.25,82,98,12.01,PH
Ucluelet,48.93,-125.55,61.0,77,20,12.75,CA
Tuatapere,-46.13,167.68,47.43,86,100,11.32,NZ
Cherskiy,68.75,161.3,50.29,49,5,16.58,RU
Datia,25.67,78.47,86.88,61,44,2.33,IN
Roald,62.58,6.13,54.0,87,80,9.17,NO
Kamenka,51.32,42.77,55.99,95,1,1.01,RU
Ulladulla,-35.35,150.47,55.4,82,20,6.93,AU
Evensk,61.95,159.23,64.22,37,100,14.47,RU
Khandyga,62.67,135.6,79.29,33,22,15.99,RU
Halifax,44.65,-63.57,66.99,100,90,5.82,CA
Puri,19.8,85.85,78.8,94,20,14.34,IN
Lenoir City,35.8,-84.26,78.01,98,100,2.06,US
Smithers,54.78,-127.17,59.0,54,40,14.99,CA
Rio Grande,-32.03,-52.1,55.99,95,100,1.99,BR
Grand Gaube,-20.01,57.66,68.0,85,2,5.01,MU
Ordzhonīkīdze,52.44,61.74,53.76,77,100,3.13,KZ
Port Macquarie,-31.43,152.92,60.01,76,1,1.01,AU
Jingjiang,32.01,120.26,80.01,59,0,3.71,CN
Tutóia,-2.76,-42.27,77.83,85,14,9.48,BR
Finale Emilia,44.83,11.29,73.0,78,0,1.99,IT
Margate,51.38,1.39,60.01,74,28,5.99,GB
Manakara,-22.13,48.02,65.73,96,31,3.71,MG
Lahaina,20.88,-156.68,84.2,54,40,11.41,US
Sterling,39.01,-77.43,86.0,37,75,8.05,US
Viranşehir,37.24,39.76,79.74,23,0,2.91,TR
Mnogovershinnyy,53.94,139.92,54.59,78,92,2.3,RU
Tongliao,43.61,122.27,78.17,50,100,14.52,CN
Sehithwa,-20.47,22.72,51.62,40,0,6.76,BW
Mwinilunga,-11.74,24.43,53.42,58,0,3.09,ZM
Muleba,-1.84,31.65,64.4,77,76,9.17,TZ
Muisne,0.6,-80.03,75.65,88,100,10.8,EC
Santa Maria,-29.68,-53.81,53.6,93,90,10.29,BR
Mehamn,71.04,27.85,39.61,77,98,16.37,NO
Corinth,37.94,22.96,75.0,57,0,3.0,GR
Sayyan,15.17,44.32,64.74,28,3,2.55,YE
Sorong,-0.88,131.25,81.27,74,98,3.15,ID
Pacific Grove,36.62,-121.92,72.0,52,1,9.17,US
Arinos,-15.92,-46.11,63.46,52,4,2.1,BR
Narsaq,60.92,-46.05,46.4,70,20,12.75,GL
Sinnamary,5.38,-52.95,78.91,87,100,10.11,GF
Celestún,20.87,-90.4,87.39,62,100,15.37,MX
Sangar,63.92,127.47,81.46,38,0,4.68,RU
Yulara,-25.24,130.99,55.4,28,0,3.36,AU
Iqaluit,63.75,-68.51,35.6,93,75,16.11,CA
Maţāy,28.42,30.78,73.53,51,0,8.39,EG
Rolla,37.95,-91.77,80.6,69,1,17.22,US
Tubualá,9.52,-79.03,77.0,88,75,3.36,PA
Polunochnoye,60.87,60.42,45.97,73,100,5.66,RU
Manggar,-2.88,108.27,83.41,73,0,15.79,ID
Mandan,46.83,-100.89,87.8,79,1,18.34,US
Port Hardy,50.7,-127.42,60.8,77,75,12.75,CA
Faanui,-16.48,-151.75,77.63,78,77,24.49,PF
Mananara,-16.17,49.77,66.24,89,16,5.5,MG
Aquidauana,-20.47,-55.79,71.73,69,0,3.02,BR
Puerto Carreño,6.19,-67.49,77.74,88,97,5.97,CO
Luanda,-8.84,13.23,73.4,88,75,3.36,AO
Yanam,16.73,82.22,83.16,83,79,1.5,IN
Tautira,-17.73,-149.15,82.4,48,75,13.87,PF
Gurupá,-1.41,-51.64,74.48,95,26,3.98,BR
Mogadishu,2.04,45.34,78.12,86,0,13.51,SO
Progreso,21.28,-89.67,93.2,49,75,13.87,MX
Aracoiaba,-4.37,-38.81,73.71,88,98,5.7,BR
Khani,41.96,42.96,66.2,93,40,3.36,GE
Beamsville,43.17,-79.48,82.4,48,40,2.24,CA
Erenhot,43.65,111.98,72.63,53,0,6.71,CN
Whitehorse,60.72,-135.05,54.0,71,75,2.15,CA
College,64.86,-147.8,59.0,62,90,5.82,US
Suwannaphum,15.6,103.8,82.99,83,40,8.05,TH
Mattru,7.62,-11.83,73.0,98,100,2.06,SL
Vareš,44.16,18.33,60.8,93,7,3.36,BA
Poum,-20.23,164.02,71.33,62,0,19.01,NC
Half Moon Bay,37.46,-122.43,77.0,33,5,13.87,US
Kahului,20.89,-156.47,84.2,54,40,11.41,US
Jérémie,18.65,-74.12,80.62,81,18,7.67,HT
Tatarskaya Pishlya,54.06,44.9,45.95,88,0,4.21,RU
Pervomayskoye,43.92,46.71,66.72,38,0,5.88,RU
Batagay-Alyta,67.8,130.41,69.17,39,0,4.21,RU
Arman',59.7,150.17,53.64,87,100,9.71,RU
Morondava,-20.28,44.28,71.35,56,0,10.11,MG
Mahibadhoo,3.78,72.97,83.62,75,0,9.46,MV
Oistins,13.07,-59.53,82.4,78,20,14.99,BB
Portland,45.52,-122.68,73.99,53,75,11.41,US
Pincher Creek,49.48,-113.95,57.0,87,90,4.7,CA
Mādārīpur,23.18,90.21,82.87,83,39,4.99,BD
Hasaki,35.73,140.83,80.01,83,75,9.17,JP
Zeya,53.75,127.27,84.27,30,0,5.37,RU
Leh,34.17,77.58,53.71,40,0,4.85,IN
Geraldton,-28.77,114.6,57.2,93,90,10.29,AU
Beidao,34.57,105.89,78.55,44,0,1.36,CN
Cobija,-11.03,-68.77,74.7,73,2,1.1,BO
Japura,-0.32,102.35,79.32,81,100,4.12,ID
Gisborne,-38.65,178.0,48.99,86,100,15.01,NZ
Meulaboh,4.14,96.13,77.67,82,92,4.59,ID
Chokurdakh,70.63,147.92,54.64,41,100,6.49,RU
Berja,36.85,-2.95,80.6,47,0,8.05,ES
Bereda,43.27,-7.54,55.99,93,50,2.44,ES
Kaeo,-35.1,173.78,60.01,3,16,11.99,NZ
Oshnavīyeh,37.04,45.1,62.6,67,40,4.7,IR
Cam Ranh,11.92,109.16,80.6,74,75,5.06,VN
Paramonga,-10.67,-77.83,61.0,88,12,10.45,PE
Beyneu,45.32,55.2,70.43,50,0,5.14,KZ
Lázaro Cárdenas,17.96,-102.2,82.81,73,42,8.34,MX
Luang Prabang,19.89,102.13,82.4,83,20,1.95,LA
Norman Wells,65.28,-126.83,68.0,49,90,8.05,CA
Orotukan,62.27,151.7,48.36,75,99,15.14,RU
Brattleboro,42.85,-72.56,66.99,89,79,3.98,US
Marawi,8.0,124.29,78.01,86,100,1.99,PH
Mankono,8.06,-6.19,70.63,97,67,6.4,CI
Sioux Lookout,50.1,-91.92,69.8,88,75,5.82,CA
Arrondissement du Havre,49.58,0.33,59.0,77,75,12.75,FR
Karratha,-20.74,116.85,76.01,32,1,15.43,AU
Ndago,-4.6,34.35,61.77,60,0,13.15,TZ
Garissa,-0.45,39.64,74.07,72,3,13.82,KE
Entre Rios,-11.94,-38.08,67.69,98,15,3.76,BR
Nioro,13.35,-15.75,79.14,72,88,10.11,GM
Sumenep,-7.02,113.87,82.26,69,100,10.51,ID
Antofagasta,-23.65,-70.4,57.2,76,75,8.05,CL
Hervey Bay,-25.3,152.85,69.01,74,35,7.0,AU
Kunda,25.72,81.52,85.55,70,0,6.31,IN
Sitka,57.05,-135.33,55.4,76,90,5.21,US
Moree,-29.47,149.85,59.0,54,0,11.41,AU
Qaqortoq,60.72,-46.03,46.4,70,86,12.75,GL
Carutapera,-1.2,-46.02,75.79,92,2,5.64,BR
Seddon,-37.81,144.89,55.99,71,40,11.41,AU
Husavik,66.04,-17.34,46.4,75,75,4.7,IS
Karaton,-6.34,106.1,77.0,88,0,4.7,ID
Kushiro,42.98,144.37,57.2,100,75,3.36,JP
Maracanã,-0.77,-47.45,74.26,96,1,2.77,BR
Luebo,-5.35,21.42,71.15,50,25,1.1,CD
Bonfim,3.08,-59.95,76.5,86,100,4.27,BR
Bandundu Province,-3.32,17.37,77.32,59,97,3.44,CD
Kulhudhuffushi,6.62,73.07,82.4,81,100,12.28,MV
Zehdenick,52.98,13.33,57.0,98,3,6.64,DE
Khovd,48.01,91.64,69.3,43,100,2.73,MN
Siavonga,-16.54,28.71,65.1,48,0,2.95,ZM
Bāfq,31.61,55.41,73.24,24,0,4.23,IR
Itoman,26.12,127.67,86.0,84,75,17.22,JP
Lebyazh'ye,55.27,66.49,50.0,84,15,4.34,RU
Linping,30.42,120.3,78.8,78,75,4.47,CN
Ipixuna,-1.76,-48.8,77.0,94,75,8.05,BR
Deputatsky,69.3,139.9,56.52,38,100,3.09,RU
Canyon Lake,29.88,-98.26,86.0,78,100,15.99,US
Baharly,38.44,57.43,70.9,47,0,2.68,TM
Hachinohe,40.5,141.5,64.4,88,75,8.05,JP
Ondjiva,-17.07,15.73,51.84,41,0,7.38,AO
Washington,47.5,-120.5,84.2,25,1,21.92,US
Ratangarh,28.08,74.6,95.58,35,0,8.84,IN
Los Llanos de Aridane,28.66,-17.92,73.4,78,90,17.22,ES
Lubango,-14.92,13.49,53.67,41,0,4.63,AO
Erdemli,36.6,34.31,75.49,66,0,6.87,TR
Severomuysk,56.15,113.43,62.01,60,92,1.43,RU
Vanderhoof,54.02,-124.02,61.3,60,96,3.76,CA
Erdenet,49.03,104.08,66.99,57,0,3.71,MN
Nazilli,37.92,28.32,72.7,44,0,3.2,TR
Berdigestyakh,62.1,126.7,84.87,30,30,6.29,RU
Tres Picos,15.87,-93.53,81.12,75,97,0.74,MX
Nome,64.5,-165.41,46.99,87,90,17.22,US
Wukari,7.85,9.78,71.87,96,100,4.18,NG
Biltine,14.53,20.92,80.31,61,94,8.41,TD
